"","title","author","subject","abstract","meta"
"1","Survival probability of structures under fatigue: a data-based approach","Francois-Baptiste Cartiaux, Frederic Legoll, Alex Libal, Julien Reygner","Computational Engineering, Finance, and Science ","This article addresses the probabilistic nature of fatigue life in structures subjected to cyclic loading with variable amplitude. Drawing on the formalisation of Miners cumulative damage rule that we introduced in the recent article [Cartiaux Ehrlacher Legoll Libal and Reygner Prob. Eng. Mech. 2023] we apply our methodology to estimate the survival probability of an industrial structure using experimental data. The study considers both the randomness in the initial state of the structure and in the amplitude of loading cycles. The results indicate that the variability of loading cycles can be captured through the concept of deterministic equivalent damage providing a computationally efficient method for assessing the fatigue life of the structure. Furthermore the article highlights that the usual combination of Miners rule and of the weakest link principle systematically overestimates the structures fatigue life. On the case study that we consider this overestimation reaches a multiplicative factor of more than two. We then describe how the probabilistic framework that we have introduced offers a remedy to this overestimation.","Fri, 8 Mar 2024 15:52:12 UTC (102 KB)"
"2","A Measure for Transparent Comparison of Linguistic Diversity in Multilingual NLP Data Sets","Tanja Samardzic, Ximena Gutierrez, Christian Bentz, Steven Moran, Olga Pelloni","Computation and Language ","Typologically diverse benchmarks are increasingly created to track the progress achieved in multilingual NLP. Linguistic diversity of these data sets is typically measured as the number of languages or language families included in the sample but such measures do not consider structural properties of the included languages. In this paper we propose assessing linguistic diversity of a data set against a reference language sample as a means of maximising linguistic diversity in the long run. We represent languages as sets of features and apply a version of the Jaccard index suitable for comparing sets of measures. In addition to the features extracted from typological data bases we propose an automatic textbased measure which can be used as a means of overcoming the wellknown problem of data sparsity in manually collected features. Our diversity score is interpretable in terms of linguistic features and can identify the types of languages that are not represented in a data set. Using our method we analyse a range of popular multilingual data sets (UD Bible100 mBERT XTREME XGLUE XNLI XCOPA TyDiQA XQuAD). In addition to ranking these data sets we find for example that (poly)synthetic languages are missing in almost all of them.","Wed, 6 Mar 2024 18:14:22 UTC (879 KB)"
"3","Data-Based In-Cylinder Pressure Model with Cyclic Variations for Combustion Control: A RCCI Engine Application","Maarten Vlaswinkel, Frank Willems","Systems and Control ","Cylinder pressurebased control is a key enabler for advanced premixed combustion concepts. Besides guaranteeing robust and safe operation it allows for cylinder pressure and heat release shaping. This requires fast controloriented combustion models. Over the years meanvalue models have been proposed that can predict combustion measures (e.g. Gross Indicated Mean Effective Pressure or the crank angle where 50% of the total heat is released) or models that predict the full incylinder pressure. However these models are not able to capture cyclic variations. This is important in the control design for combustion concepts like Reactivity Controlled Compression Ignition that can suffer from large cyclic variations. In this study the incylinder pressure and cyclic variation are modelled using a databased approach. The model combines Principle Component Decomposition and Gaussian Process Regression. A detailed study is performed on the effects of the different hyperparameters and kernel choices. The approach is applicable to any combustion concept but most valuable for advance combustion concepts with large cyclic variation. The potential of the proposed approach is demonstrated for an Reactivity Controlled Compression Ignition engine running on Diesel and E85. The prediction quality of the evaluated combustion measures has an overall accuracy of 13.5% and 65.5% in mean behaviour and standard deviation respectively. The peakpressure riserate is traditionally hard to predict in the proposed model it has an accuracy of 22.7% and 96.4% in mean behaviour and standard deviation respectively. This Principle Component Decompositionbased approach is an important step towards incylinder pressure shaping. The use of Gaussian Process Regression provides important information on cyclic variation and provides nextcycle controls information on safety and performance criteria.","Wed, 6 Mar 2024 10:44:55 UTC (3,347 KB)[v2] Thu, 7 Mar 2024 07:23:20 UTC (3,347 KB)"
"4","Multimodal Anomaly Detection based on Deep Auto-Encoder for Object Slip Perception of Mobile Manipulation Robots","Youngjae Yoo, Chung-Yeon Lee, Byoung-Tak Zhang","Robotics ","Object slip perception is essential for mobile manipulation robots to perform manipulation tasks reliably in the dynamic realworld. Traditional approaches to robot arms slip perception use tactile or vision sensors. However mobile robots still have to deal with noise in their sensor signals caused by the robots movement in a changing environment. To solve this problem we present an anomaly detection method that utilizes multisensory data based on a deep autoencoder model. The proposed framework integrates heterogeneous data streams collected from various robot sensors including RGB and depth cameras a microphone and a forcetorque sensor. The integrated data is used to train a deep autoencoder to construct latent representations of the multisensory data that indicate the normal status. Anomalies can then be identified by error scores measured by the difference between the trained encoders latent values and the latent values of reconstructed input data. In order to evaluate the proposed framework we conducted an experiment that mimics an object slip by a mobile service robot operating in a realworld environment with diverse household objects and different moving patterns. The experimental results verified that the proposed framework reliably detects anomalies in object slip situations despite various object types and robot behaviors and visual and auditory noise in the environment.","Wed, 6 Mar 2024 09:15:53 UTC (7,762 KB)"
"5","Data based constitutive modelling of rate independent inelastic effects in composite cables using Preisach hysteresis operators","Davide Manfredo, Vanessa Dörlich, Joachim Linn, Martin Arnold","Materials Science ","This contribution aims at introducing first steps to develop hysteresis operator type inelastic constitutive laws for Cosserat rods for the simulation of cables composed of complex interior components. Motivated by the basic elements of Cosserat rod theory we develop a specific approach to constitutive modelling adapted for this application. Afterwards we describe the hysteretical behaviour arising from cyclic bending experiments on cables by means of the Preisach operator. As shown in pure bending experiments slender structures such as electric cables behave inelastically and open hysteresis loops arise with noticeable difference between the first load cycle and the following ones. The Preisach operator plays an important role in describing the inputoutput relation in hysteresis behaviours and it can be expressed as a superposition of relay operators. Hence a mathematical formulation of the problem is introduced and a first attempt is made to determine the hysteresis behaviour that describes the relation between curvature and bending moment. Therefore a suitable kernel function is identified in a way that its integration over the Preisach plane results in the bending moment of the specimen and a comparison between different kernel functions is performed.","Wed, 6 Mar 2024 08:10:02 UTC (1,342 KB)"
"6","Modelling the inelastic constitutive behaviour of multi-layer spiral strands. Comparison of hysteresis operator approach to multi-scale model","Davide Manfredo, Mohammad Ali Saadat, Vanessa Dörlich, Joachim Linn, Damien Durville, Martin Arnold","Materials Science ","The simulation of inelastic effects in flexible slender technical devices has become of increasing interest in the past years. Different approaches have been considered depending on the effects relevant for the specific application. Recently a mixed stress strain driven computational homogenisation has been proposed to model the dissipative nonlinear bending response of spiral strands subjected to axial force. In this study we propose two different approaches namely a rheological model and a databased greybox model to predict the cyclic response of these strands using only their monotonic response. In the first approach a system of socalled bending springs and sliders is used to model different contributions to the bending stiffness of the strands. The databased approach makes use of mathematical tools called hysteresis operators. The PrandtlIshlinskii operator plays a relevant role in modelling the inputoutput relation in phenomena showing hysteretic behaviour and can be expressed as a weighted superposition of elementary stop operators. Comparing the two approaches leads to a better understanding and an explicit physical interpretation of the parameters of a specific class of hysteresis operator models.","Wed, 6 Mar 2024 08:01:58 UTC (1,329 KB)"
"7","Leveraging Federated Learning for Automatic Detection of Clopidogrel Treatment Failures","Samuel Kim, Min Sang Kim","Machine Learning ","The effectiveness of clopidogrel a widely used antiplatelet medication varies significantly among individuals necessitating the development of precise predictive models to optimize patient care. In this study we leverage federated learning strategies to address clopidogrel treatment failure detection. Our research harnesses the collaborative power of multiple healthcare institutions allowing them to jointly train machine learning models while safeguarding sensitive patient data. Utilizing the UK Biobank dataset which encompasses a vast and diverse population we partitioned the data based on geographic centers and evaluated the performance of federated learning. Our results show that while centralized training achieves higher Area Under the Curve (AUC) values and faster convergence federated learning approaches can substantially narrow this performance gap. Our findings underscore the potential of federated learning in addressing clopidogrel treatment failure detection offering a promising avenue for enhancing patient care through personalized treatment strategies while respecting data privacy. This study contributes to the growing body of research on federated learning in healthcare and lays the groundwork for secure and privacypreserving predictive models for various medical conditions.","Tue, 5 Mar 2024 23:31:07 UTC (775 KB)"
"8","Exploring Time Delay Interferometry Ranging as a Practical Ranging Technique in the Bayesian Framework","Minghui Du, Pengzhan Wu, Ziren Luo, Peng Xu","Instrumentation and Methods for Astrophysics ","Knowledge on the interspacecraft optical paths (i.e. delays) is one of the key elements of time delay interferometry (TDI). Conventional method for interspacecraft ranging mainly relies on the pseudorandom noise (PRN) code signal modulated onto the lasers. To ensure the reliability and robustness of this ranging information it would be highly beneficial to develop other methods which could serve as crossvalidations or backups. This paper explores the practical implementation of an alternative datadriven approach  time delay interferometry ranging (TDIR)  as a ranging technique independent of the PRN signal. Distinguished from previous research the inputs of our TDIR algorithm are interferometric measurements that have only undergone a 0.1 ms accuracy preliminary clock synchronization using the ground tracking data. This significantly relaxes the stringent requirement for clock synchronization imposed by traditional TDI procedure. In order to encode the information of timevarying light travel times and clock desynchronizations we adopt a general polynomial parametrization to represent the delays. By framing TDIR as a Bayesian parameter estimation problem we demonstrate our algorithm with simulated data based on the numerical orbit of Taiji. In the presence of laser frequency noise and secondary noises the estimated median values of parameters exhibit a bias of only 5.28 ns from the true delays capable of suppressing laser frequency noise to the desired level. Furthermore we have also analysed the requirements of mitigating optical bench noise and clock noise on TDIR and presented an illustrative example for the impact of laser locking.","Tue, 5 Mar 2024 15:48:54 UTC (33,418 KB)[v2] Wed, 6 Mar 2024 07:36:26 UTC (33,442 KB)"
"9","HARGPT: Are LLMs Zero-Shot Human Activity Recognizers?","Sijie Ji, Xinzhe Zheng, Chenshu Wu","Computation and Language ","There is an ongoing debate regarding the potential of Large Language Models (LLMs) as foundational models seamlessly integrated with CyberPhysical Systems (CPS) for interpreting the physical world. In this paper we carry out a case study to answer the following question Are LLMs capable of zeroshot human activity recognition (HAR). Our study HARGPT presents an affirmative answer by demonstrating that LLMs can comprehend raw IMU data and perform HAR tasks in a zeroshot manner with only appropriate prompts. HARGPT inputs raw IMU data into LLMs and utilizes the roleplay and think stepbystep strategies for prompting. We benchmark HARGPT on GPT4 using two public datasets of different interclass similarities and compare various baselines both based on traditional machine learning and stateoftheart deep classification models. Remarkably LLMs successfully recognize human activities from raw IMU data and consistently outperform all the baselines on both datasets. Our findings indicate that by effective prompting LLMs can interpret raw IMU data based on their knowledge base possessing a promising potential to analyze raw sensor data of the physical world effectively.","Tue, 5 Mar 2024 07:34:51 UTC (2,188 KB)"
"10","Machine Learning Refinements to Metallicity-Dependent Isotopic Abundances","Haoxuan Sun","Instrumentation and Methods for Astrophysics ","The project aims to use machine learning algorithms to fit the free parameters of an isotopic scaling model to elemental observations. The processes considered are massive star nucleosynthesis Type Ia SNe the sprocess the rprocess and pisotope production. The analysis on the successful fits seeks to minimize the reduced chi squared between the model and the data. Based upon the successful refinement of the isotopic parameterized scaling model a table providing the 287 stable isotopic abundances as a function of metallicity separated into astrophysical processes is useful for identifying the chemical history of them. The table provides a complete averaged chemical history for the Galaxy subject to the underlying model constraints.","Tue, 5 Mar 2024 06:06:22 UTC (4,271 KB)"
