"","movietitle","moviedate","moviereviewer","movierate","moviereviewtitle","moviereview"
"1","avengers endgame","2019-04-29","moistmovies",0.7," not as good as infinity war","But its a pretty good film A bit of a mess in some parts lacking the cohesive and effortless feel infinity war somehow managed to accomplish Some silly plot holes and characters that couldve been cut Ahem captain marvel and thanos The use of Captain marvel in this film was just ridiculous Shes there at the start bails for some reason And then pops up at the end to serve no purpose but deux ex machina a space shipThe past thanos part wasnt necessary when you think about it they couldve done this film without a real villain And it wouldve worked and been a original take on a super hero film without using the same formula we have seen in 10 super hero films already The entire final battle felt like a rehashed messy battle with a bunch more characters against thanos  basically mixing the space battle from infinity war iron man spider man etc and the final battle of infinity war with captain america thor etc mashing those two into one within this new film The scenes of trying to pull the gauntlet off his hand it all felt like a rehashTo me the best part of the film was the first act and half of the second when everyone is lost and trying to figure out how to continue on really interesting themes that followed the pay off from infinity wars ending And then the time heist part Tho the heist part shouldve been much more stretched out With only small parts of thanos within that and not having him be the big bad again But just a side character that gets in the way a little bitAnd the setting up for new avengers to replace the beloved actors and characters we have come to associate with these films they do not get me at all excited for the next phase in marvel films Falcon Valkyrie blackpanther cap marvel I just dont care about them at all And their actors lack any charisma or depthTo me this feels like a closing of marvel films that Ill really enjoy for my pop corn fix Ive given infinity war a 1010 and some of the stand alone films 8s and 9s But I have a sinking feeling this "
"2","avengers endgame","2021-12-13","acollegestudent",0.8," not as good as infinity war but a great movie","Rating 86Not as good as Infinity war pacingwise but is a satisfying ending to the saga High production quality and a great soundtrack like its predecessor The final fight did feel a little clich two armies brainlessly charging at each other for a typical smackdown Not much to write about it made every marvel movie before it worth the ticket"
"3","avengers endgame","2019-05-06","dschlatter",0.7," success does not equal quality","The soontobe most successful movie of all times actually ranks fairly low among its companions Id say it is about as good as Winter SoldierAs a fan of the pevious films expecially Infinity War I couldnt miss this one I think that goes for most moviegoers After Infinity War we HAD to see how it ends Infinity War was an almost perfect movieAnd now we get less than perfect Now we get good or very good and in comparison it seems almost badMy issue is not how the film is made But with the story they chose to tell1 Thanos cant be the stronger villain without his gauntlet Thats poor writing2 Captain Marvel and Captain America are NOT equally strong when fighting Thanos3 Stormbreaker was this amazing weapon in Infinity War It beat Thanos with all stones in his gauntlet Now its just as steong as the hammer4 Thor has just found his purpose and strength in Ragnarok and Infinity War Now he is a joke5 The time travel is well how itz always is Hardly logicalThose are the issues that now trouble me after having seen it two days ago It just wasnt as good as Infinity War They missed their mark"
"4","avengers endgame","2021-11-26","davyjones-636363",1," crazy in every sense","This film is an emotional rollercoaster with some of the coolest superhero plot lines ever drawn up Its straight up the most epic Marvel film that will probably ever be created I dont see how Marvel could ever top this but getting to see these characters all together at least one last time was a reward all on its own"
"5","avengers endgame","2019-05-08","dhiraj-yahoo",1," perfect ending","After watching Infinity war I was looking forward to much more this time still a perfect ending"
"6","avengers endgame","2020-05-26","auuwws",1," great","Perhaps Infinity War was the film of Thanos in which he imposed what he was seeking but Endgame is the movie of Avengers who impose what they seek and perhaps his title which translates to the end of the game means the end of what Thanos sought But do you think that would be that easy Contrary to what Thanos did quite easily you are wrong The Infinite War movie may have been very touching and shocking when Thanos killed half of the universe creatures but the endgame is more impactful and shocking than him Although the cuff will be in the interest of the Avengers in this movie nothing comes for free must be given to get and perhaps the long time period for the movie that reached three hours was very reasonable because their journey to achieve their goal was neither easy nor many options in front of them"
"7","avengers endgame","2019-04-25","ahmetkozan",1," the end of an era","After Avengers Infinity War we waited for the Avengers Endgame We wondered how the story would go on how our heroes would turn back what would be the end of Thanos Many theories related to this have been put forward Avengers Endgame was undoubtedly the most anticipated film of recent years Normally the higher the expectation the higher the probability of disappointment But this is not the case for Endgame Whatever youre expecting you find much more in the film This means that the biggest concern about the film has disappearedOn the other hand another comparison comes up Is Endgame more successful than Infinity War We can comfortably say it Avengers Infinity War is just the beginning of the story Endgame was the finale of the story So we shouldnt think of these two films as two separate stories There is only one story divided into two partsAvengers Endgame is above all a great homage to the tenyear history of the Marvel Cinematic Universe The story highlights the original Avengers team Iron Man Captain America Thor Hulk Black Widow and Hawkeye are at the center of events No character comes in front of them Of course there are many characters that play an important role in the story outside the original Avengers team Everyones concern was that Captain Marvel who was included in the Marvel world overshadowed other heroes We can say that this certainly did not happen What is important in this struggle is not how strong you are but how good you are This comes to the fore in all areas It gives good message about being a hero and a familyOf course Avengers Endgame has some critical aspects For example is the threehour period necessary in terms of the story It can be discussed The head of the story moves much slower than the rest It also drags the heroes into an emotional predicament Then the tempo is rising and the heavy scenes we are watching are getting more meaningful The last 45 minutes of the movie is fully action packed But the last 45 minutes goes so fast that you d"
"8","avengers endgame","2019-04-24","larshoeijmans",1," the ending made all 22 movies worth it","If youre going to watch this movie avoid any spoilers even spoiler free reviewsWhich is why Im not going to say anything about the movie Not even my opinion All Im going to say isThe crowd applauded 3 times during the movie and stood up to clap their hands after This I have never witnessed in a Dutch cinema Dutch crowds arent usually passionate about this I checked the row where I was sitting and people were crying After the movie I was seeing people with smudged mascara Thats all I have to say about the movie"
"9","avengers endgame","2019-04-24","ymyuseda",1," absolute perfection end game","Rating 1010Absolute perfection end game  Good acting performance to all the characters Great cgis Truly epic  perfect ending to a long journey of marvel movie Go see it you wont regret it  Perfection Marvel Endgame "
"10","avengers endgame","2019-04-27","nickgray-12862",0.7," emotional but bit messy","So it all ends I have loved most of the MCU some have been too predictable but I awaited after IW to see how it would all pan out Firstly some of my favourite characters are a joke Please dont dumb Thor or BannerHulk down not necessary Great starting scene then slow dramatic next 15 hours It builds to the time travel reversing all section with too many plot holes Weve all seen other time reversing movies who have done it so much better The last hour is spectacular great to see all the gang back but it feels rushed Emotion runs high and defo not a kids film in my eyes Cap is great Stark is amazing but everyone else feels like there just there What I loved was the beauty of the final scenes wonderful score and saying goodbye to old friends Overall wanted more but even far from perfect is still pretty good"
