"","title","author","subject","abstract","meta"
"1","Positioning Error Impact Compensation through Data-Driven Optimization in User-Centric Networks","Waseem Raza, Fahd Ahmed Khan, Muhammad Umar Bin Farooq, Sabit Ekin, Ali Imran","Systems and Control (eess.SY)","The performance of user-centric ultra-dense networks (UCUDNs) hinges on the Service zone (Szone) radius, which is an elastic parameter that balances the area spectral efficiency (ASE) and energy efficiency (EE) of the network. Accurately determining the Szone radius requires the precise location of the user equipment (UE) and data base stations (DBSs). Even a slight error in reported positions of DBSs or UE will lead to an incorrect determination of Szone radius and UE-DBS pairing, leading to degradation of the UE-DBS communication link. To compensate for the positioning error impact and improve the ASE and EE of the UCUDN, this work proposes a data-driven optimization and error compensation (DD-OEC) framework. The framework comprises an additional machine learning model that assesses the impact of residual errors and regulates the erroneous datadriven optimization to output Szone radius, transmit power, and DBS density values which improve network ASE and EE. The performance of the framework is compared to a baseline scheme, which does not employ the residual, and results demonstrate that the DD-OEC framework outperforms the baseline, achieving up to a 23% improvement in performance.","Sat, 24 Feb 2024 11:47:22 UTC (3,430 KB)"
"2","Estimation of Spectral Risk Measure for Left Truncated and Right Censored Data","Suparna Biswas, Rituparna Sen","Methodology (stat.ME)","Left truncated and right censored data are encountered frequently in insurance loss data due to deductibles and policy limits. Risk estimation is an important task in insurance as it is a necessary step for determining premiums under various policy terms. Spectral risk measures are inherently coherent and have the benefit of connecting the risk measure to the user's risk aversion. In this paper we study the estimation of spectral risk measure based on left truncated and right censored data. We propose a non parametric estimator of spectral risk measure using the product limit estimator and establish the asymptotic normality for our proposed estimator. We also develop an Edgeworth expansion of our proposed estimator. The bootstrap is employed to approximate the distribution of our proposed estimator and shown to be second order ``accurate''. Monte Carlo studies are conducted to compare the proposed spectral risk measure estimator with the existing parametric and non parametric estimators for left truncated and right censored data. Based on our simulation study we estimate the exponential spectral risk measure for three data sets viz; Norwegian fire claims data set, Spain automobile insurance claims and French marine losses.","Thu, 22 Feb 2024 06:25:10 UTC (305 KB)"
"3","Explainable Classification Techniques for Quantum Dot Device Measurements","Daniel Schug, Tyler J. Kovach, M. A. Wolfe, Jared Benson, Sanghyeok Park, J. P. Dodson, J. Corrigan, M. A. Eriksson, Justyna P. Zwolak","Computer Vision and Pattern Recognition (cs.CV)","In the physical sciences, there is an increased need for robust feature representations of image data: image acquisition, in the generalized sense of two-dimensional data, is now widespread across a large number of fields, including quantum information science, which we consider here. While traditional image features are widely utilized in such cases, their use is rapidly being supplanted by Neural Network-based techniques that often sacrifice explainability in exchange for high accuracy. To ameliorate this trade-off, we propose a synthetic data-based technique that results in explainable features. We show, using Explainable Boosting Machines (EBMs), that this method offers superior explainability without sacrificing accuracy. Specifically, we show that there is a meaningful benefit to this technique in the context of quantum dot tuning, where human intervention is necessary at the current stage of development.","Wed, 21 Feb 2024 11:00:23 UTC (3,494 KB)[v2] Fri, 23 Feb 2024 18:31:45 UTC (3,494 KB)"
"4","On new tests for the Poisson distribution based on empirical weight functions","Winnie Kirui, Elzanie Bothma, Marius Smuts, Anke Steyn, Jaco Visagie","Methodology (stat.ME)","We propose new goodness-of-fit tests for the Poisson distribution. The testing procedure entails fitting a weighted Poisson distribution, which has the Poisson as a special case, to observed data. Based on sample data, we calculate an empirical weight function which is compared to its theoretical counterpart under the Poisson assumption. Weighted Lp distances between these empirical and theoretical functions are proposed as test statistics and closed form expressions are derived for L1, L2 and L1 distances. A Monte Carlo study is included in which the newly proposed tests are shown to be powerful when compared to existing tests, especially in the case of overdispersed alternatives. We demonstrate the use of the tests with two practical examples.","Tue, 20 Feb 2024 09:57:46 UTC (28 KB)"
"5","Generating Survival Interpretable Trajectories and Data","Andrei V. Konstantinov, Stanislav R. Kirpichenko, Lev V. Utkin","Machine Learning (cs.LG)","A new model for generating survival trajectories and data based on applying an autoencoder of a specific structure is proposed. It solves three tasks. First, it provides predictions in the form of the expected event time and the survival function for a new generated feature vector on the basis of the Beran estimator. Second, the model generates additional data based on a given training set that would supplement the original dataset. Third, the most important, it generates a prototype time-dependent trajectory for an object, which characterizes how features of the object could be changed to achieve a different time to an event. The trajectory can be viewed as a type of the counterfactual explanation. The proposed model is robust during training and inference due to a specific weighting scheme incorporating into the variational autoencoder. The model also determines the censored indicators of new generated data by solving a classification task. The paper demonstrates the efficiency and properties of the proposed model using numerical experiments on synthetic and real datasets. The code of the algorithm implementing the proposed model is publicly available.","Mon, 19 Feb 2024 18:02:10 UTC (4,150 KB)"
"6","Simple model for the kinetics of stimuli-responsive gels with porous structures","Yuhei Yamada, Shingo Maeda","Soft Condensed Matter (cond-mat.soft)","Stimuli-responsive gels are the gels that vary the volume depending on environmental conditions. It has been reported that the stimuli-responsive gel with an inhomogeneous structure exhibits faster volume change than the gel without it. It is understood as a difference in the transfer dynamics of the solvent, though, there are few models for discussing the effect of inhomogeneity explicitly. In this paper, we propose a simple model for the kinetics of volume change by introducing inhomogeneity as the probability distribution for a random variable that characterizes the structure. Under this framework, we demonstrate that inhomogeneity actually increases the rate of volume change. Furthermore, through analysis of a simplified example, we show that some features that are often seen in experiments can be reproduced by the model. This model provides a simple equation for the time series of volume change that can be used to characterize the experimental data based on a simple physical picture of the phenomenon.","Mon, 19 Feb 2024 17:24:35 UTC (45 KB)"
"7","Amplifying Training Data Exposure through Fine-Tuning with Pseudo-Labeled Memberships","Myung Gyo Oh, Hong Eun Ahn, Leo Hyun Park, Taekyoung Kwon","Computation and Language (cs.CL)","Neural language models (LMs) are vulnerable to training data extraction attacks due to data memorization. This paper introduces a novel attack scenario wherein an attacker adversarially fine-tunes pre-trained LMs to amplify the exposure of the original training data. This strategy differs from prior studies by aiming to intensify the LM's retention of its pre-training dataset. To achieve this, the attacker needs to collect generated texts that are closely aligned with the pre-training data. However, without knowledge of the actual dataset, quantifying the amount of pre-training data within generated texts is challenging. To address this, we propose the use of pseudo-labels for these generated texts, leveraging membership approximations indicated by machine-generated probabilities from the target LM. We subsequently fine-tune the LM to favor generations with higher likelihoods of originating from the pre-training data, based on their membership probabilities. Our empirical findings indicate a remarkable outcome: LMs with over 1B parameters exhibit a four to eight-fold increase in training data exposure. We discuss potential mitigations and suggest future research directions.","Mon, 19 Feb 2024 14:52:50 UTC (277 KB)"
"8","Yamdb: easily accessible thermophysical properties of liquid metals and molten salts","Tom Weier, William Nash, Paolo Personnettaz, Norbert Weber","Materials Science (cond-mat.mtrl-sci)","Yamdb (Yet another materials data base) addresses the need to provide thermophysical properties of liquid metals and molten salts in an easily accessible manner. Mathematical relations describing material properties - usually determined by experiment - are taken from the literature. Equations and their coefficients are stored separately. The former can be implemented in any programming language (Python and Go in this case) and the latter are kept in YAML files together with additional information (source, temperature range, composition, accuracy if available, etc).","Sun, 28 Jan 2024 15:20:12 UTC (313 KB)"
"9","DeepSRGM -- Sequence Classification and Ranking in Indian Classical Music with Deep Learning","Sathwik Tejaswi Madhusudhan, Girish Chowdhary","Sound (cs.SD)","A vital aspect of Indian Classical Music (ICM) is Raga, which serves as a melodic framework for compositions and improvisations alike. Raga Recognition is an important music information retrieval task in ICM as it can aid numerous downstream applications ranging from music recommendations to organizing huge music collections. In this work, we propose a deep learning based approach to Raga recognition. Our approach employs efficient pre possessing and learns temporal sequences in music data using Long Short Term Memory based Recurrent Neural Networks (LSTM-RNN). We train and test the network on smaller sequences sampled from the original audio while the final inference is performed on the audio as a whole. Our method achieves an accuracy of 88.1% and 97 % during inference on the Comp Music Carnatic dataset and its 10 Raga subset respectively making it the state-of-the-art for the Raga recognition task. Our approach also enables sequence ranking which aids us in retrieving melodic patterns from a given music data base that are closely related to the presented query sequence.","Thu, 15 Feb 2024 18:11:02 UTC (557 KB)"
"10","Review of the Learning-based Camera and Lidar Simulation Methods for Autonomous Driving Systems","Hamed Haghighi, Xiaomeng Wang, Hao Jing, Mehrdad Dianati","Computer Vision and Pattern Recognition (cs.CV)","Perception sensors, particularly camera and Lidar, are key elements of Autonomous Driving Systems (ADS) that enable them to comprehend their surroundings for informed driving and control decisions. Therefore, developing realistic camera and Lidar simulation methods, also known as camera and Lidar models, is of paramount importance to effectively conduct simulation-based testing for ADS. Moreover, the rise of deep learning-based perception models has propelled the prevalence of perception sensor models as valuable tools for synthesising diverse training datasets. The traditional sensor simulation methods rely on computationally expensive physics-based algorithms, specifically in complex systems such as ADS. Hence, the current potential resides in learning-based models, driven by the success of deep generative models in synthesising high-dimensional data. This paper reviews the current state-of-the-art in learning-based sensor simulation methods and validation approaches, focusing on two main types of perception sensors: cameras and Lidars. This review covers two categories of learning-based approaches, namely raw-data-based and object-based models. Raw-data-based methods are explained concerning the employed learning strategy, while object-based models are categorised based on the type of error considered. Finally, the paper illustrates commonly used validation techniques for evaluating perception sensor models and highlights the existing research gaps in the area.","Mon, 29 Jan 2024 16:56:17 UTC (9,918 KB)"
